STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
ARUNACHAL PRADESH,CHANGLANG,2001,11,2,0,1,0,1,3,2,1,3,2,4,18,24,0,24,0,4,3,0,1,30,0,3,0,0,0,0,54,163
ARUNACHAL PRADESH,DIBANG VALLEY,2001,3,5,0,2,0,2,4,4,0,2,0,5,18,19,1,18,0,3,0,0,0,27,0,4,0,2,0,0,45,139
ARUNACHAL PRADESH,KAMENG EAST,2001,3,1,0,2,0,2,7,5,2,1,0,6,8,26,0,26,0,1,1,0,1,36,0,5,0,0,0,0,28,126
ARUNACHAL PRADESH,KAMENG WEST,2001,4,2,0,0,0,0,2,2,0,1,0,0,6,26,0,26,0,1,4,0,0,27,0,0,0,0,0,0,30,103
ARUNACHAL PRADESH,LOHIT,2001,16,6,1,2,0,2,6,6,0,2,0,8,20,31,0,31,3,5,2,0,2,40,0,8,0,0,0,0,38,190
ARUNACHAL PRADESH,PAPUM PARE,2001,11,8,0,9,0,9,15,5,10,4,0,29,59,109,29,80,9,12,8,2,1,84,0,6,0,3,0,0,129,498
ARUNACHAL PRADESH,SIANG EAST,2001,7,0,0,5,0,5,11,7,4,4,0,8,25,52,4,48,1,4,4,0,1,58,0,7,0,2,0,0,54,243
ARUNACHAL PRADESH,SIANG UPPER,2001,1,1,0,2,0,2,5,5,0,0,0,0,5,9,0,9,1,1,0,0,2,15,0,3,0,0,0,0,11,56
ARUNACHAL PRADESH,SIANG WEST,2001,5,14,0,4,0,4,17,10,7,1,0,10,34,72,1,71,2,5,5,0,3,71,0,25,2,2,0,0,89,361
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,8,10,1,2,0,2,6,5,1,1,0,7,17,25,0,25,5,3,2,0,2,11,0,4,0,0,0,0,44,148
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,4,0,0,2,0,2,1,1,0,3,0,5,17,20,0,20,2,2,0,0,0,34,0,8,0,2,0,0,40,140
ARUNACHAL PRADESH,TAWANG,2001,2,0,0,1,0,1,0,0,0,0,0,0,3,13,1,12,0,0,1,0,0,3,0,5,1,0,0,0,19,48
ARUNACHAL PRADESH,TIRAP,2001,8,4,1,1,0,1,6,3,3,0,0,2,18,17,0,17,1,0,0,2,0,30,0,0,0,0,0,0,37,127
ARUNACHAL PRADESH,TOTAL,2001,83,53,3,33,0,33,83,55,28,22,2,84,248,443,36,407,24,41,30,4,13,466,0,78,3,11,0,0,618,2342
ARUNACHAL PRADESH,CHANGLANG,2002,9,4,1,3,0,3,5,2,3,2,0,5,18,25,0,25,0,4,8,0,2,26,0,0,0,2,0,0,66,180
ARUNACHAL PRADESH,DIBANG VALLEY,2002,6,4,0,5,0,5,6,5,1,2,0,9,16,20,0,20,5,0,3,0,0,36,0,4,0,5,0,0,57,178
ARUNACHAL PRADESH,KAMENG EAST,2002,3,2,0,1,0,1,4,3,1,0,0,3,10,23,0,23,8,1,0,0,0,37,0,6,0,0,0,0,28,126
ARUNACHAL PRADESH,KAMENG WEST,2002,3,3,0,0,0,0,4,1,3,0,0,0,10,15,0,15,0,1,1,0,0,16,0,0,0,0,0,0,31,84
ARUNACHAL PRADESH,LOHIT,2002,14,2,0,3,0,3,5,3,2,6,0,5,12,24,0,24,0,1,2,2,1,50,0,8,0,0,0,0,34,169
ARUNACHAL PRADESH,PAPUM PARE,2002,3,3,1,3,0,3,10,6,4,7,0,42,66,94,38,56,0,4,3,1,1,51,0,9,1,1,0,0,83,383
ARUNACHAL PRADESH,SIANG EAST,2002,3,0,0,11,0,11,10,8,2,2,0,6,28,58,3,55,0,4,5,0,2,58,0,14,0,1,0,0,62,264
ARUNACHAL PRADESH,SIANG UPPER,2002,0,1,0,3,0,3,0,0,0,0,0,1,9,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,23,44
ARUNACHAL PRADESH,SIANG WEST,2002,4,7,3,4,0,4,7,6,1,1,0,7,39,50,4,46,3,3,2,0,6,58,0,18,0,2,0,0,117,331
ARUNACHAL PRADESH,SUBANSIRI LOWER,2002,8,3,0,1,0,1,4,3,1,2,0,8,16,32,4,28,0,0,1,0,4,18,0,4,0,0,0,0,51,152
ARUNACHAL PRADESH,SUBANSIRI UPPER,2002,5,2,0,2,0,2,1,1,0,0,0,6,13,14,0,14,4,3,2,0,4,24,0,4,0,0,0,0,48,132
ARUNACHAL PRADESH,TAWANG,2002,0,0,1,1,0,1,0,0,0,0,0,0,3,13,2,11,1,1,1,2,0,2,0,0,1,1,0,0,17,44
ARUNACHAL PRADESH,TIRAP,2002,3,7,0,1,0,1,1,0,1,0,0,4,9,20,0,20,0,1,1,0,0,25,0,1,0,1,0,0,67,141
ARUNACHAL PRADESH,TOTAL,2002,61,38,6,38,0,38,57,38,19,22,0,96,249,395,51,344,21,23,29,5,20,401,0,68,2,13,0,0,684,2228
ARUNACHAL PRADESH,CHANGLANG,2003,10,1,0,4,0,4,7,7,0,4,0,0,16,19,0,19,1,1,1,0,3,33,0,0,0,2,0,0,43,145
ARUNACHAL PRADESH,DIBANG VALLEY,2003,1,1,0,2,0,2,1,1,0,2,0,6,15,13,0,13,1,1,2,0,0,38,0,1,0,5,0,0,27,116
ARUNACHAL PRADESH,K/KUMEY,2003,4,1,0,0,0,0,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,10,0,0,0,0,0,0,5,25
ARUNACHAL PRADESH,KAMENG EAST,2003,4,0,0,0,0,0,2,2,0,0,0,5,15,11,0,11,1,0,0,0,0,33,0,10,0,1,0,0,19,101
ARUNACHAL PRADESH,KAMENG WEST,2003,7,1,0,1,0,1,0,0,0,1,0,2,11,11,0,11,0,0,0,2,0,22,0,0,0,0,0,0,25,83
ARUNACHAL PRADESH,LOHIT,2003,16,0,0,1,0,1,15,14,1,4,0,2,26,25,0,25,0,2,2,0,0,30,0,5,0,1,0,0,60,189
ARUNACHAL PRADESH,PAPUM PARE,2003,9,2,0,3,0,3,10,8,2,11,0,11,56,110,38,72,1,10,2,0,0,67,0,7,0,1,0,0,105,405
ARUNACHAL PRADESH,SIANG EAST,2003,6,2,0,9,0,9,10,9,1,4,0,13,22,46,4,42,0,1,7,1,1,40,0,4,0,1,0,0,65,232
ARUNACHAL PRADESH,SIANG UPPER,2003,4,2,1,1,0,1,1,1,0,0,0,0,8,16,0,16,0,1,0,0,0,12,0,0,0,0,0,0,9,55
ARUNACHAL PRADESH,SIANG WEST,2003,5,2,0,5,0,5,5,4,1,2,0,2,22,50,5,45,2,7,4,0,0,57,0,6,0,1,0,0,87,257
ARUNACHAL PRADESH,SUBANSIRI LOWER,2003,3,3,1,3,0,3,4,0,4,4,0,5,20,17,2,15,1,2,1,1,1,11,0,0,0,0,0,0,46,123
ARUNACHAL PRADESH,SUBANSIRI UPPER,2003,4,1,0,1,0,1,2,2,0,2,0,7,15,11,0,11,0,0,0,1,3,35,0,0,0,0,0,0,36,118
ARUNACHAL PRADESH,TAWANG,2003,0,0,0,0,0,0,0,0,0,0,0,1,12,14,1,13,0,0,0,2,0,6,0,1,0,0,0,0,13,49
ARUNACHAL PRADESH,TIRAP,2003,2,3,1,1,0,1,8,0,8,2,0,5,13,25,0,25,0,3,2,0,2,33,0,9,0,2,0,0,35,146
ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2003,2,1,0,0,0,0,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,17
