STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
MANIPUR,BISHNUPUR,2001,29,25,1,1,0,1,3,3,0,3,0,2,6,11,1,10,11,3,3,1,7,21,0,0,0,1,0,0,98,226
MANIPUR,CHANDEL,2001,7,7,0,0,0,0,1,1,0,16,0,4,2,1,0,1,0,1,1,0,1,13,0,0,0,0,0,0,20,74
MANIPUR,CHURACHANDPUR,2001,35,21,0,1,0,1,0,0,0,0,0,0,4,12,1,11,0,0,3,3,3,3,0,0,0,0,0,0,47,132
MANIPUR,IMPHAL(EAST),2001,29,29,2,7,0,7,13,6,7,0,0,1,12,28,16,12,24,6,16,5,8,26,0,2,0,1,0,0,128,337
MANIPUR,IMPHAL(WEST),2001,44,42,2,7,0,7,48,37,11,1,0,2,38,121,52,69,83,18,25,9,27,75,0,17,0,3,0,1,521,1084
MANIPUR,SENAPATI,2001,27,10,0,0,0,0,6,0,6,0,0,1,2,9,0,9,2,3,1,1,2,1,0,0,0,0,0,0,111,176
MANIPUR,TAMENGLONG,2001,2,1,0,0,0,0,0,0,0,0,0,0,1,4,0,4,0,0,0,0,3,2,0,0,0,0,0,1,0,14
MANIPUR,THOUBAL,2001,32,32,0,4,0,4,22,14,8,0,17,6,8,20,1,19,11,2,17,1,13,56,0,1,0,0,0,5,156,403
MANIPUR,UKHRUL,2001,4,1,0,0,0,0,1,1,0,0,0,3,2,11,0,11,0,0,0,0,0,4,0,1,0,0,0,0,16,43
MANIPUR,BISHNUPUR,2002,24,23,0,2,0,2,20,7,13,1,0,0,5,9,0,9,5,4,8,1,2,66,0,9,0,1,0,1,112,293
MANIPUR,CHANDEL,2002,9,4,0,0,0,0,9,0,9,0,0,5,2,6,0,6,0,3,2,1,1,19,0,0,0,0,0,4,33,98
MANIPUR,CHURACHANDPUR,2002,30,11,0,0,0,0,19,1,18,0,0,0,4,4,0,4,2,0,0,1,2,6,0,1,0,0,0,0,28,108
MANIPUR,IMPHAL(EAST),2002,24,27,3,4,0,4,25,20,5,2,0,0,7,39,22,17,8,2,11,4,6,50,0,9,0,0,0,0,170,391
MANIPUR,IMPHAL(WEST),2002,32,51,0,3,0,3,44,36,8,0,0,0,20,162,92,70,26,13,29,5,28,128,0,31,0,5,0,0,433,1010
MANIPUR,SENAPATI,2002,13,11,0,0,0,0,1,0,1,0,0,0,2,6,0,6,2,2,2,0,0,0,0,0,0,0,0,0,91,130
MANIPUR,TAMENGLONG,2002,3,3,0,0,0,0,4,0,4,0,0,0,0,6,0,6,0,0,0,0,2,2,0,0,0,0,0,0,8,28
MANIPUR,THOUBAL,2002,27,29,0,4,0,4,34,18,16,0,8,0,3,18,1,17,21,3,20,0,6,102,0,8,0,4,0,20,181,488
MANIPUR,UKHRUL,2002,3,1,0,1,0,1,1,0,1,0,0,1,1,5,0,5,0,1,0,0,1,5,0,0,0,0,0,0,18,38
MANIPUR,BISHNUPUR,2003,22,42,1,2,0,2,10,6,4,0,0,0,6,11,0,11,8,0,6,0,1,46,0,16,0,0,0,0,103,274
MANIPUR,CHANDEL,2003,17,6,0,0,0,0,3,1,2,0,0,1,0,5,1,4,5,1,0,0,4,10,0,0,0,0,0,0,31,83
MANIPUR,CHURACHANDPUR,2003,14,21,0,0,0,0,4,0,4,0,0,0,3,16,0,16,0,0,1,0,0,4,0,2,0,0,0,0,32,97
MANIPUR,IMPHAL(EAST),2003,25,32,1,3,0,3,18,10,8,0,0,1,9,44,29,15,18,2,8,0,5,64,0,2,0,0,0,0,226,458
MANIPUR,IMPHAL(WEST),2003,28,35,1,5,0,5,41,24,17,2,0,1,37,131,92,39,32,8,25,7,25,91,0,22,0,1,0,4,445,941
MANIPUR,SENAPATI,2003,17,13,2,0,0,0,7,1,6,1,0,1,1,3,0,3,5,1,4,0,4,3,0,0,0,0,0,0,70,132
MANIPUR,TAMENGLONG,2003,3,3,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,1,1,0,0,0,0,0,0,11,24
MANIPUR,THOUBAL,2003,22,42,1,8,0,8,34,26,8,0,0,1,10,33,2,31,5,4,32,0,4,100,0,1,0,3,0,0,188,488
MANIPUR,UKHRUL,2003,2,5,0,0,0,0,3,3,0,0,0,1,2,4,0,4,0,0,0,0,3,5,0,1,0,0,0,0,14,40
MANIPUR,BISHNUPUR,2004,19,48,0,3,0,3,14,8,6,0,2,0,5,26,0,26,14,0,3,0,29,36,0,7,0,1,0,0,76,283
MANIPUR,CHANDEL,2004,6,13,0,1,0,1,1,0,1,0,0,0,5,4,0,4,0,0,0,1,0,1,0,0,0,0,0,0,32,64
MANIPUR,CHURACHANDPUR,2004,26,18,2,0,0,0,7,1,6,0,0,0,3,8,0,8,0,0,1,1,0,0,0,0,0,0,0,0,54,120
MANIPUR,IMPHAL(EAST),2004,24,30,0,7,0,7,23,16,7,0,0,1,7,27,9,18,28,1,85,0,21,47,0,2,0,0,0,0,164,467
MANIPUR,IMPHAL(WEST),2004,28,58,1,9,0,9,38,26,12,1,0,1,40,142,98,44,55,13,42,2,25,106,0,19,0,0,0,34,439,1053
MANIPUR,SENAPATI,2004,7,11,0,0,0,0,7,0,7,0,0,1,1,8,0,8,5,6,2,0,0,0,0,0,0,0,0,0,69,117
MANIPUR,TAMENGLONG,2004,1,1,0,0,0,0,5,0,5,0,0,0,0,7,0,7,0,1,1,0,0,0,0,0,0,0,0,0,21,37
MANIPUR,THOUBAL,2004,38,46,0,11,0,11,32,20,12,0,0,0,3,14,1,13,10,3,7,0,10,43,0,2,0,1,0,1,125,346
MANIPUR,UKHRUL,2004,10,2,0,0,0,0,1,0,1,1,0,0,2,8,0,8,3,1,1,0,0,0,0,0,0,0,0,0,19,48
MANIPUR,BISHNUPUR,2005,30,38,0,3,0,3,7,5,2,0,0,0,5,19,0,19,6,0,8,0,4,38,0,3,0,1,0,0,178,340
MANIPUR,CHANDEL,2005,20,10,0,0,0,0,1,0,1,4,0,2,2,3,0,3,0,2,3,0,11,5,0,2,0,0,0,0,24,89
MANIPUR,CHURACHANDPUR,2005,49,25,1,0,0,0,4,1,3,0,0,0,4,11,1,10,1,3,3,1,1,4,0,2,0,0,0,0,66,175
MANIPUR,IMPHAL(EAST),2005,38,50,0,4,0,4,28,21,7,0,0,1,6,31,6,25,5,2,50,1,20,62,0,3,0,1,0,0,221,523
MANIPUR,IMPHAL(WEST),2005,49,68,1,10,0,10,41,28,13,0,0,4,38,138,82,56,12,18,40,8,58,107,0,12,0,3,0,3,448,1058
MANIPUR,SENAPATI,2005,10,12,0,0,0,0,3,0,3,0,0,1,1,7,0,7,0,1,3,0,19,3,0,0,0,0,0,1,59,120
MANIPUR,TAMENGLONG,2005,7,2,0,1,0,1,1,0,1,0,0,0,0,4,0,4,2,0,1,0,8,3,0,0,0,0,0,0,18,47
MANIPUR,THOUBAL,2005,46,38,1,7,0,7,20,14,6,0,0,0,5,27,3,24,9,12,9,0,9,73,0,3,0,15,0,1,207,482
MANIPUR,UKHRUL,2005,7,9,1,0,0,0,1,0,1,0,0,0,1,3,0,3,0,14,5,0,25,0,0,0,0,0,0,0,13,79
MANIPUR,BISHNUPUR,2006,14,27,1,1,0,1,9,5,4,0,0,0,1,18,1,17,4,8,6,0,4,38,0,6,0,2,0,1,149,289
MANIPUR,CHANDEL,2006,14,12,0,2,0,2,2,0,2,0,1,2,1,6,1,5,2,0,2,1,4,4,0,1,0,0,0,0,17,71
MANIPUR,CHURACHANDPUR,2006,43,30,1,20,0,20,1,0,1,0,6,0,5,23,0,23,0,0,1,0,6,8,0,5,0,0,0,1,114,264
MANIPUR,IMPHAL EAST,2006,31,57,0,3,0,3,26,21,5,0,0,0,8,51,10,41,9,1,5,1,39,56,0,14,0,0,0,0,233,534
MANIPUR,IMPHAL WEST,2006,41,74,0,9,0,9,51,29,22,1,19,5,34,148,86,62,22,15,40,6,39,106,0,15,0,5,0,0,428,1058
MANIPUR,SENAPATI,2006,13,7,1,0,0,0,6,0,6,1,0,1,0,19,2,17,2,2,0,1,0,1,0,0,0,0,0,0,54,108
MANIPUR,TAMENGLONG,2006,9,5,0,0,0,0,0,0,0,0,1,0,0,6,0,6,2,0,0,0,5,0,0,0,0,0,0,1,11,40
MANIPUR,THOUBAL,2006,36,52,1,5,0,5,35,24,11,0,0,0,6,18,5,13,17,10,27,0,7,79,0,1,0,3,0,0,167,464
MANIPUR,UKHRUL,2006,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,1,0,5,4,0,0,0,0,0,0,34,56
MANIPUR,BISHNUPUR,2007,31,31,1,4,0,4,9,6,3,0,9,0,5,38,6,32,11,3,9,0,3,53,0,21,0,0,0,0,139,367
MANIPUR,CHANDEL,2007,16,17,0,0,0,0,2,0,2,0,3,0,2,7,1,6,2,0,3,0,3,13,0,0,0,0,0,1,19,88
MANIPUR,CHURACHANDPUR,2007,28,5,0,1,0,1,6,1,5,0,0,0,11,46,3,43,2,1,4,1,0,1,0,0,0,0,0,0,51,157
MANIPUR,IMPHAL EAST,2007,41,89,0,1,0,1,28,19,9,0,81,1,7,70,13,57,13,1,6,0,15,68,0,4,0,1,0,0,182,608
MANIPUR,IMPHAL WEST,2007,61,130,0,7,0,7,64,37,27,1,42,3,30,228,100,128,18,11,40,2,16,138,0,28,0,11,0,0,408,1238
MANIPUR,SENAPATI,2007,17,15,0,1,0,1,8,2,6,0,10,5,0,12,0,12,6,0,2,1,14,5,0,0,0,0,0,0,49,145
MANIPUR,TAMENGLONG,2007,3,4,0,0,0,0,2,0,2,0,0,0,0,5,1,4,2,0,0,0,1,1,0,0,0,0,0,0,20,38
MANIPUR,THOUBAL,2007,39,74,1,6,0,6,27,17,10,1,0,1,12,40,26,14,16,2,25,0,8,97,0,17,0,3,0,0,175,544
MANIPUR,UKHRUL,2007,4,12,0,0,0,0,4,1,3,1,1,1,3,8,0,8,0,1,4,0,3,1,0,0,0,0,0,0,31,74
MANIPUR,BISHNUPUR,2008,16,43,0,3,0,3,14,11,3,0,23,0,9,35,9,26,6,0,13,1,2,37,0,16,0,4,0,0,105,327
MANIPUR,CHANDEL,2008,13,10,0,0,0,0,2,0,2,0,2,0,2,3,0,3,0,0,1,0,4,20,0,0,0,0,0,0,17,74
MANIPUR,CHURACHANDPUR,2008,18,5,1,2,0,2,5,0,5,0,2,0,9,14,6,8,0,0,6,1,2,2,0,0,0,0,0,0,64,131
